site_id,ncollege,college,total_pop,college_percentage,volume,sent,left,total,sign_percentage,has_spouse,spouse_percentage
臺南市北門區,8220,2030,10250,0.1980487804878049,3,150,50,200,0.01951219512195122,5288,0.5159024390243903
臺南市北區,67248,48056,115304,0.4167765211961424,46,2300,2326,4626,0.04012003052799556,56578,0.4906854922639284
臺南市大內區,7194,1777,8971,0.19808271095752983,1,50,86,136,0.01515995987069446,4597,0.5124289376881062
臺南市東區,82443,77604,160047,0.484882565746312,50,2500,1171,3671,0.022937012252650785,80456,0.5027023311902129
臺南市東山區,15521,3702,19223,0.19258180304843156,6,300,63,363,0.018883628986110387,10015,0.5209904801539822
臺南市官田區,13869,5514,19383,0.2844760872929887,9,450,144,594,0.030645410927101067,9665,0.49863282257648456
臺南市關廟區,23124,7836,30960,0.2531007751937985,9,450,252,702,0.022674418604651164,15907,0.5137919896640827
臺南市歸仁區,39993,19464,59457,0.32736263181795244,18,900,789,1689,0.028407084111206418,30765,0.5174327665371613
臺南市後壁區,16335,5426,21761,0.2493451587702771,6,300,121,421,0.019346537383392308,11408,0.524240613942374
臺南市佳里區,35139,17245,52384,0.3292035736102627,21,1050,140,1190,0.02271686010995724,26858,0.5127138057422114
臺南市將軍區,14822,3533,18355,0.19248161263960772,4,200,87,287,0.01563606646690275,9177,0.49997275946608555
臺南市柳營區,14113,5412,19525,0.27718309859154927,NA,NA,NA,NA,NA,9932,0.5086811779769527
臺南市六甲區,14149,5694,19843,0.2869525777352215,7,350,298,648,0.03265635236607368,10179,0.512976868417074
臺南市龍崎區,3183,633,3816,0.16588050314465408,0,0,43,43,0.011268343815513627,2080,0.5450733752620545
臺南市麻豆區,26866,12591,39457,0.3191068758395215,13,650,532,1182,0.029956661682337734,20581,0.5216057987175913
臺南市南化區,6505,1537,8042,0.19112161153941806,2,100,80,180,0.022382491917433474,4321,0.5373041531957224
臺南市南區,74150,38284,112434,0.34050198338580856,52,2600,1246,3846,0.03420673461764235,53213,0.4732821032783677
臺南市楠西區,7206,1677,8883,0.18878757176629518,2,100,27,127,0.014296971743780255,4530,0.5099628503883823
臺南市七股區,16747,3923,20670,0.18979196903725207,3,150,187,337,0.016303821964199324,10060,0.4866956942428641
臺南市仁德區,43392,23140,66532,0.3478025611735706,34,1700,294,1994,0.029970540491793422,34164,0.5134972644742379
臺南市山上區,5000,1698,6698,0.25350851000298597,2,100,86,186,0.027769483427888923,3386,0.5055240370259779
臺南市善化區,24969,16088,41057,0.39184548310884865,17,850,311,1161,0.028277760187057018,22389,0.5453150498088024
臺南市西港區,16456,5810,22266,0.2609359561663523,5,250,303,553,0.02483607293631546,11347,0.5096110661995868
臺南市下營區,16124,5719,21843,0.2618230096598453,7,350,137,487,0.022295472233667537,11535,0.5280868012635627
臺南市新化區,26761,11920,38681,0.30816162974069955,12,600,233,833,0.021535120601845866,19336,0.49988366381427574
臺南市新市區,20079,11266,31345,0.3594193651300048,9,450,433,883,0.028170362099218377,16600,0.5295900462593716
臺南市新營區,39922,27873,67795,0.41113651449221916,25,1250,1253,2503,0.03692012685301276,33875,0.49966811711778153
臺南市學甲區,17044,6471,23515,0.2751860514565171,4,200,178,378,0.016074845843078885,11641,0.4950457155007442
臺南市鹽水區,16764,6227,22991,0.2708451133052064,9,450,99,549,0.023878909138358488,11385,0.49519377147579485
臺南市永康區,124214,77016,201230,0.3827262336629727,100,5000,1189,6189,0.030755851513193856,100257,0.498220941211549
臺南市玉井區,9925,2951,12876,0.2291860826343585,3,150,91,241,0.01871699285492389,6413,0.498058403230817
臺南市中西區,37529,29963,67492,0.4439489124636994,28,1400,1422,2822,0.04181236294671961,32630,0.4834647069282285
